id,成交日期,成交年月_民國,成交年月_西元,樓層,總樓層,單價_萬每坪_不含車位,原始單價_萬每坪_含車位,房屋總價_萬_不含車位,車位總價_萬,成交總價_萬_含車位,房屋坪數_坪_不含車位,車位坪數_坪,總坪數_坪_含車位,車位數,車位類型,房型,特殊交易,特殊交易說明,樓層標籤,地址,建案名稱,來源網址
5708566,2022-09-25,111-09,2022-09,19,22,45.7,42.4,3036,420,3456,66.4,15.1,81.5,2,平面車位,0房0廳,否,,高樓層、平面車位,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
5708782,2022-09-25,111-09,2022-09,8,22,46.5,42.9,3193,400,3593,68.6,15.1,83.7,2,平面車位,0房0廳,否,,中樓層、平面車位,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
5708569,2022-09-24,111-09,2022-09,18,22,48.1,44.5,3303,420,3723,68.6,15.1,83.7,2,平面車位,0房0廳,否,,高樓層、平面車位,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
5708568,2022-09-23,111-09,2022-09,19,22,45.7,42.2,3036,400,3436,66.4,15.1,81.5,2,平面車位,0房0廳,否,,高樓層、平面車位,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
5708565,2022-09-22,111-09,2022-09,2,22,47.3,43.4,3139,400,3539,66.4,15.1,81.5,2,平面車位,0房0廳,否,,低樓層、平面車位,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
5708567,2022-09-21,111-09,2022-09,22,22,46.3,42.9,3076,420,3496,66.4,15.1,81.5,2,平面車位,0房0廳,否,,高樓層、平面車位,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
5728409,2022-09-18,111-09,2022-09,17,22,47.9,44.1,3289,400,3689,68.6,15.1,83.7,2,平面車位,0房0廳,否,,高樓層、平面車位,桃園市桃園區正光路與力行路交叉路,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
5728407,2022-09-17,111-09,2022-09,21,22,46.1,42.5,3063,400,3463,66.4,15.1,81.5,2,平面車位,0房0廳,否,,高樓層、平面車位,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
5728408,2022-09-16,111-09,2022-09,17,22,45.3,42.1,3010,420,3430,66.4,15.1,81.5,2,平面車位,0房0廳,否,,高樓層、平面車位,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
5728406,2022-09-15,111-09,2022-09,9,22,46.5,42.4,3193,360,3553,68.6,15.1,83.7,2,平面車位,0房0廳,否,,中樓層、平面車位,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
5728470,2022-09-12,111-09,2022-09,11,22,46.7,43.1,3207,400,3607,68.6,15.1,83.7,2,平面車位,0房0廳,否,,中樓層、平面車位,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
